,area,fat_per_capita_alcoholic_beverages,fat_per_capita_animal_fats,fat_per_capita_aquatic_products_other,fat_per_capita_cereals_excluding_beer,fat_per_capita_eggs,fat_per_capita_fish_seafood,fat_per_capita_fruits_excluding_wine,fat_per_capita_meat,fat_per_capita_milk_excluding_butter,fat_per_capita_miscellaneous,fat_per_capita_offals,fat_per_capita_oilcrops,fat_per_capita_pulses,fat_per_capita_spices,fat_per_capita_starchy_roots,fat_per_capita_stimulants,fat_per_capita_sugar_sweeteners,fat_per_capita_sugar_crops,fat_per_capita_treenuts,fat_per_capita_vegetable_oils,fat_per_capita_vegetables,calorie_per_capita_alcoholic_beverages,calorie_per_capita_animal_fats,calorie_per_capita_aquatic_products_other,calorie_per_capita_cereals_excluding_beer,calorie_per_capita_eggs,calorie_per_capita_fish_seafood,calorie_per_capita_fruits_excluding_wine,calorie_per_capita_meat,calorie_per_capita_milk_excluding_butter,calorie_per_capita_miscellaneous,calorie_per_capita_offals,calorie_per_capita_oilcrops,calorie_per_capita_pulses,calorie_per_capita_spices,calorie_per_capita_starchy_roots,calorie_per_capita_stimulants,calorie_per_capita_sugar_sweeteners,calorie_per_capita_sugar_crops,calorie_per_capita_treenuts,calorie_per_capita_vegetable_oils,calorie_per_capita_vegetables,protein_per_capita_alcoholic_beverages,protein_per_capita_animal_fats,protein_per_capita_aquatic_products_other,protein_per_capita_cereals_excluding_beer,protein_per_capita_eggs,protein_per_capita_fish_seafood,protein_per_capita_fruits_excluding_wine,protein_per_capita_meat,protein_per_capita_milk_excluding_butter,protein_per_capita_miscellaneous,protein_per_capita_offals,protein_per_capita_oilcrops,protein_per_capita_pulses,protein_per_capita_spices,protein_per_capita_starchy_roots,protein_per_capita_stimulants,protein_per_capita_sugar_sweeteners,protein_per_capita_sugar_crops,protein_per_capita_treenuts,protein_per_capita_vegetable_oils,protein_per_capita_vegetables,infection_level,undernourishment,median_age,aged_70_older,diabetes_prevalence,life_expectancy
100,Malta,0.0,14.45,0.0,10.77,3.07,4.17,0.7,23.73,20.77,0.05,0.12,3.16,0.06,0.19,0.05,4.98,0.0,0.0,2.25,37.77,0.89,13.60779,16.847739999999998,0.0,140.87302599999998,5.702311999999999,10.36784,12.830202,44.840908,43.674526,0.907186,0.518392,4.665528,1.555176,0.777588,7.387085999999999,8.164674,62.466236,0.0,3.23995,43.285732,13.737388,0.45,0.16,0.0,31.66,3.56,9.49,1.24,31.0,19.65,0.27,0.64,1.25,0.76,0.21,1.19,1.28,0.0,0.0,0.69,0.04,4.94,High,2.5,42.4,11.324,8.83,82.53
101,Mauritania,0.0,2.7,0.0,7.07,0.63,0.72,0.13,8.11,13.41,0.05,0.39,0.63,0.48,0.29,0.04,0.74,0.0,0.0,0.0,28.33,0.27,0.0,3.110352,0.0,212.151926,1.166382,2.203166,4.665528,15.810956,32.010706,0.518392,1.4255779999999998,1.036784,11.66382,0.907186,3.110352,1.555176,48.469652,0.0,0.0,32.529098,5.313517999999999,0.0,0.04,0.0,43.19,0.69,2.4,0.36,11.49,13.51,0.14,1.66,0.44,5.88,0.23,0.45,0.97,0.0,0.0,0.0,0.01,1.58,Low,10.1,20.3,1.792,2.42,64.92
102,Mauritius,0.0,3.4,0.0,6.8,1.48,2.11,0.26,12.97,5.23,0.22,0.11,3.0,0.57,0.82,0.05,2.27,0.0,0.0,0.78,56.18,0.35,8.035076,4.017538,0.0,173.531722,2.851156,6.868694,6.609497999999999,25.660404,20.08769,2.721558,0.518392,4.53593,12.700603999999998,2.980754,6.091106,3.628744,40.045782,2.462362,1.166382,64.410206,7.12789,0.49,0.11,0.0,32.94,1.83,7.64,0.61,18.82,10.43,0.72,0.56,1.44,6.43,0.77,0.93,0.68,0.0,0.13,0.26,0.05,2.27,Low,7.8,37.4,5.884,22.02,74.99
103,Mexico,0.0,5.68,0.0,12.38,4.92,0.95,1.16,29.5,8.95,0.0,0.43,1.36,0.44,0.28,0.05,0.48,0.0,0.0,1.35,35.5,0.37,9.71985,6.609497999999999,0.0,174.30930999999998,9.71985,3.499146,15.162966,47.044074,21.254072,0.0,1.94397,2.203166,11.923016,1.166382,4.147136,0.777588,53.78317,0.0,1.684774,40.693772,5.702311999999999,0.55,0.01,0.0,34.51,5.71,4.22,1.79,22.53,9.89,0.01,2.57,0.71,5.36,0.4,0.55,0.17,0.07,0.0,0.24,0.07,1.83,Moderate,6.1,29.3,4.321,13.06,75.05
104,Moldova,0.0,11.27,0.0,3.93,2.16,0.95,0.43,15.9,7.64,0.1,0.16,0.46,0.16,0.03,0.12,1.4,0.0,0.0,0.82,31.2,0.45,11.01583,13.089398,0.0,151.88885599999998,4.017538,2.980754,12.182212,25.401208,23.97563,1.166382,1.036784,0.64799,4.147136,0.129598,10.756634,2.332764,30.714726,0.0,1.166382,35.769048,6.739096,0.39,0.07,0.0,32.54,2.36,3.27,0.89,12.18,8.94,0.27,0.87,0.17,2.05,0.04,1.97,0.38,0.0,0.0,0.21,0.02,2.1,High,6.7,37.6,6.955,5.72,71.9
105,Mongolia,0.0,21.71,0.0,10.43,1.52,0.07,0.09,51.09,20.12,0.11,5.08,0.42,0.02,0.01,0.18,2.64,0.0,0.0,0.7,20.56,0.38,13.089398,25.142012,0.0,124.932472,2.851156,0.129598,2.462362,82.42432799999999,44.840908,1.166382,16.329348,0.777588,0.518392,0.0,16.977338,4.147136,16.718142,0.0,0.907186,23.586836,6.609497999999999,0.42,0.16,0.0,23.95,1.71,0.17,0.16,40.88,17.22,0.29,17.8,0.31,0.23,0.01,3.11,0.57,0.0,0.0,0.19,0.04,1.98,Low,3.6,28.6,2.421,4.82,69.87
106,Montenegro,0.0,8.44,0.0,11.13,2.93,1.09,1.04,44.73,32.12,0.39,0.24,2.11,0.21,0.13,0.07,7.09,0.0,0.0,2.32,23.93,0.7,18.14372,9.849448,0.0,145.408956,5.443116,3.758342,20.865278,67.520558,66.224578,4.276733999999999,1.4255779999999998,3.110352,5.313517999999999,0.518392,7.516684,11.01583,39.656988,0.0,3.23995,27.474776,9.590252,0.93,0.16,0.0,30.79,3.2,4.26,2.05,27.51,30.76,1.03,1.36,0.93,2.64,0.13,1.31,1.74,0.01,0.0,0.61,0.04,2.98,High,2.5,39.1,9.395,10.08,76.88
107,Morocco,0.0,5.15,0.0,9.52,2.01,1.59,0.97,10.36,3.01,0.01,0.32,0.76,0.78,0.59,0.1,0.44,0.0,0.0,3.6,36.27,0.37,0.777588,5.961507999999999,0.0,247.143386,3.758342,5.18392,17.366132,19.828494,9.460654,0.259196,1.166382,1.036784,9.71985,2.203166,9.590252,1.036784,44.581712,0.0,5.18392,41.600958,8.683066,0.03,0.05,0.0,55.82,2.49,6.06,1.53,14.05,5.23,0.07,1.26,0.18,5.59,0.69,1.53,0.7,0.0,0.0,1.31,0.01,2.6,Moderate,5.6,29.6,4.209,7.14,76.68
108,Mozambique,0.0,0.75,0.0,6.56,0.32,0.84,0.15,4.4,0.44,0.02,0.02,1.35,0.39,0.01,0.53,0.08,0.0,0.0,0.51,22.21,0.15,1.94397,0.907186,0.0,122.988502,0.64799,3.23995,5.443116,6.4799,1.166382,0.259196,0.129598,2.073568,10.627036,0.0,65.317392,0.259196,14.126181999999998,0.64799,0.777588,25.401208,2.851156,0.17,0.01,0.0,23.81,0.39,3.97,0.64,2.44,0.43,0.06,0.15,0.61,5.41,0.01,4.6,0.3,0.0,0.03,0.19,0.01,0.97,Low,19.05121951219512,17.7,1.87,3.3,60.85
109,Myanmar,0.0,5.96,0.0,6.27,2.54,3.89,0.38,31.98,2.6,0.04,0.27,20.21,1.07,0.8,0.08,0.02,0.11,0.0,0.24,20.07,0.46,0.907186,6.998291999999999,0.0,170.29177199999998,4.665528,13.737388,7.775879999999999,48.469652,7.646281999999999,0.388794,1.166382,30.066736,17.236534,2.462362,4.795126,0.388794,22.161258,0.0,1.684774,22.938846,8.423869999999999,0.04,0.23,0.0,30.95,2.73,15.63,0.64,19.99,5.4,0.09,1.45,6.19,7.93,0.76,0.49,0.55,0.41,0.0,0.26,0.0,3.32,Low,3.1,29.1,3.12,4.61,67.13
