,area,fat_per_capita_alcoholic_beverages,fat_per_capita_animal_fats,fat_per_capita_aquatic_products_other,fat_per_capita_cereals_excluding_beer,fat_per_capita_eggs,fat_per_capita_fish_seafood,fat_per_capita_fruits_excluding_wine,fat_per_capita_meat,fat_per_capita_milk_excluding_butter,fat_per_capita_miscellaneous,fat_per_capita_offals,fat_per_capita_oilcrops,fat_per_capita_pulses,fat_per_capita_spices,fat_per_capita_starchy_roots,fat_per_capita_stimulants,fat_per_capita_sugar_sweeteners,fat_per_capita_sugar_crops,fat_per_capita_treenuts,fat_per_capita_vegetable_oils,fat_per_capita_vegetables,calorie_per_capita_alcoholic_beverages,calorie_per_capita_animal_fats,calorie_per_capita_aquatic_products_other,calorie_per_capita_cereals_excluding_beer,calorie_per_capita_eggs,calorie_per_capita_fish_seafood,calorie_per_capita_fruits_excluding_wine,calorie_per_capita_meat,calorie_per_capita_milk_excluding_butter,calorie_per_capita_miscellaneous,calorie_per_capita_offals,calorie_per_capita_oilcrops,calorie_per_capita_pulses,calorie_per_capita_spices,calorie_per_capita_starchy_roots,calorie_per_capita_stimulants,calorie_per_capita_sugar_sweeteners,calorie_per_capita_sugar_crops,calorie_per_capita_treenuts,calorie_per_capita_vegetable_oils,calorie_per_capita_vegetables,protein_per_capita_alcoholic_beverages,protein_per_capita_animal_fats,protein_per_capita_aquatic_products_other,protein_per_capita_cereals_excluding_beer,protein_per_capita_eggs,protein_per_capita_fish_seafood,protein_per_capita_fruits_excluding_wine,protein_per_capita_meat,protein_per_capita_milk_excluding_butter,protein_per_capita_miscellaneous,protein_per_capita_offals,protein_per_capita_oilcrops,protein_per_capita_pulses,protein_per_capita_spices,protein_per_capita_starchy_roots,protein_per_capita_stimulants,protein_per_capita_sugar_sweeteners,protein_per_capita_sugar_crops,protein_per_capita_treenuts,protein_per_capita_vegetable_oils,protein_per_capita_vegetables,infection_level,undernourishment,median_age,aged_70_older,diabetes_prevalence,life_expectancy
120,Norway,0.0,25.4,0.0,6.66,3.33,4.5,1.27,31.86,18.41,1.12,0.15,3.49,0.69,0.18,0.15,4.85,0.0,0.0,2.76,30.5,0.53,15.551759999999998,29.80754,0.0,129.468402,6.091106,13.348594,15.422161999999998,50.024828,42.248948,12.052613999999998,0.64799,5.572714,19.180504,0.64799,13.348594,8.553467999999999,37.58342,0.0,4.017538,34.99146,7.905478,0.65,0.7,0.0,28.18,3.83,14.43,1.41,23.09,22.26,2.78,0.78,1.75,9.77,0.16,2.44,2.37,0.0,0.0,0.86,0.16,2.78,Moderate,2.5,39.7,10.813,5.31,82.4
121,Oman,0.0,7.09,0.0,5.87,2.31,1.3,1.11,13.96,13.41,0.07,0.33,2.49,0.35,1.22,0.06,3.11,0.0,0.0,2.45,30.97,1.09,1.4255779999999998,8.423869999999999,0.0,151.500062,4.276733999999999,5.443116,46.784878,25.27161,33.436284,1.036784,1.036784,3.499146,6.350301999999999,4.276733999999999,6.220704,4.924723999999999,29.548344,0.0,3.628744,35.509851999999995,15.940554,0.03,0.23,0.0,28.05,2.52,7.11,3.76,16.09,14.44,0.28,1.17,0.76,3.19,1.0,1.06,0.96,0.0,0.0,0.77,0.01,5.45,High,9.8,30.7,1.53,12.61,77.86
122,Pakistan,0.0,16.13,0.0,7.59,0.97,0.11,0.28,5.79,18.92,0.0,0.2,0.18,0.32,0.32,0.05,0.04,0.0,0.03,0.16,29.24,0.15,0.0,18.532514,0.0,156.16558999999998,1.814372,0.388794,5.961507999999999,10.497438,47.173672,0.0,0.777588,0.259196,6.350301999999999,1.684774,4.017538,0.259196,28.900354,0.518392,0.259196,33.565881999999995,3.23995,0.0,0.15,0.0,31.05,1.06,0.52,0.55,6.58,21.85,0.02,0.82,0.06,3.05,0.53,0.71,0.27,0.04,0.01,0.05,0.14,1.05,Low,16.9,23.5,2.78,8.35,67.27
123,Panama,0.0,15.4,0.0,5.97,1.43,1.44,1.01,20.74,7.32,0.21,0.28,2.5,0.2,0.08,0.07,1.22,0.0,0.0,0.61,40.35,0.19,10.627036,17.884524,0.0,163.68227399999998,2.851156,4.53593,16.458945999999997,40.045782,22.290856,2.721558,1.4255779999999998,4.924723999999999,5.572714,0.259196,4.406332,2.073568,36.028244,0.0,0.907186,46.26648599999999,3.23995,0.47,0.22,0.0,27.66,1.64,4.96,1.35,28.29,12.84,0.76,1.8,2.03,2.81,0.07,0.62,0.44,0.02,0.0,0.18,0.06,1.04,High,5.8,29.7,5.03,8.33,78.51
124,Papua New Guinea,0.0,2.04,0.0,1.91,0.15,1.42,2.25,14.68,0.23,0.03,0.13,13.4,0.02,0.03,1.06,0.09,0.0,0.0,0.43,19.54,0.57,2.462362,2.462362,0.0,78.017996,0.259196,4.276733999999999,45.3593,32.788294,0.64799,0.388794,0.518392,20.217288,0.518392,0.129598,60.651864,0.259196,15.940554,0.0,0.518392,22.420454,6.739096,0.12,0.08,0.0,14.17,0.17,4.81,4.36,28.14,0.27,0.09,0.61,1.7,0.24,0.02,5.64,0.2,0.0,0.0,0.12,0.01,2.31,Low,21.6,22.6,2.142,17.65,64.5
125,Paraguay,0.0,9.12,0.0,10.61,3.72,0.31,0.72,10.39,6.0,0.05,0.36,0.84,0.46,0.07,1.05,0.92,0.0,0.0,0.04,41.1,0.27,16.329348,10.627036,0.0,134.78192,7.257487999999999,1.036784,8.942262,20.217288,14.774171999999998,0.64799,1.814372,1.29598,11.923016,0.259196,51.968798,3.628744,21.254072,0.0,0.0,47.044074,5.18392,0.89,0.13,0.0,26.8,4.27,1.2,0.95,14.51,5.94,0.17,2.51,0.44,6.04,0.08,2.97,4.48,0.01,0.0,0.01,0.01,1.61,High,8.7,26.5,3.833,8.27,74.25
126,Peru,0.0,1.53,0.0,5.03,2.61,2.08,1.94,15.0,5.92,0.03,0.26,2.79,0.6,0.1,0.73,0.47,0.0,0.0,0.24,24.92,0.39,9.979046,1.814372,0.0,140.61382999999998,5.18392,6.868694,23.586836,32.010706,14.644574,0.388794,1.166382,4.795126,11.01583,0.388794,51.709602,1.684774,27.345178,0.0,0.388794,28.51156,6.868694,0.33,0.01,0.0,27.25,3.01,7.82,2.0,26.27,6.02,0.12,1.54,1.64,5.85,0.09,6.25,1.2,0.0,0.0,0.08,0.02,2.21,High,8.3,29.1,4.455,5.95,76.74
127,Philippines,0.0,6.36,0.0,4.57,1.44,1.79,0.85,17.52,0.55,0.02,0.57,2.83,0.06,0.08,0.09,0.36,0.05,0.0,0.63,11.05,0.38,6.998291999999999,7.516684,0.0,229.777254,2.59196,6.868694,19.958092,26.56759,3.628744,0.259196,2.332764,4.406332,1.684774,0.518392,5.702311999999999,1.4255779999999998,30.066736,0.0,1.036784,12.700603999999998,6.220704,0.21,0.27,0.0,34.69,1.59,8.46,1.8,11.03,2.59,0.05,2.85,0.78,0.8,0.11,0.41,0.48,0.04,0.0,0.25,0.0,2.39,Low,5.2,25.2,2.661,7.07,71.23
128,Poland,0.0,32.34,0.0,4.2,2.37,1.55,0.65,35.42,22.88,0.0,0.08,1.35,0.04,0.18,0.27,0.27,0.0,0.0,1.76,29.19,0.6,23.32764,37.972214,0.0,144.50177,4.406332,5.572714,11.275026,59.61508,44.71131,0.0,0.388794,2.073568,1.166382,0.64799,23.97563,0.907186,59.09668799999999,0.0,2.462362,33.565881999999995,9.849448,1.29,0.66,0.0,33.7,2.73,6.55,1.11,32.86,20.43,0.0,0.57,0.6,0.62,0.17,4.39,0.68,0.0,0.0,0.5,0.08,3.17,High,2.5,41.8,10.202,5.91,78.73
129,Portugal,0.0,23.24,0.0,6.68,2.82,2.67,0.98,29.85,13.47,0.02,0.38,2.61,0.25,0.16,0.15,4.47,0.0,0.0,2.57,56.57,0.68,28.252364,27.345178,0.0,127.783628,5.18392,13.60779,20.476484,52.875984,36.676234,0.259196,1.684774,3.499146,4.795126,0.518392,14.385378,7.257487999999999,31.10352,0.0,4.795126,64.79899999999999,11.534222,0.71,0.53,0.0,27.75,3.24,18.08,1.97,32.35,19.29,0.05,2.04,0.5,2.26,0.14,2.58,1.37,0.01,0.0,0.9,0.07,3.82,High,2.5,46.2,14.924,9.85,82.05
130,Qatar,0.0,6.02,0.0,8.18,4.25,1.19,0.84,22.49,8.7,0.23,0.08,3.3,0.62,1.98,0.07,4.13,0.0,0.0,3.19,59.43,0.88,2.203166,6.868694,0.0,180.918808,7.775879999999999,4.406332,19.4397,41.730556,21.38367,2.851156,0.259196,4.924723999999999,11.923016,7.387085999999999,7.775879999999999,6.739096,34.473068,0.0,4.665528,68.03895,14.126181999999998,0.05,0.06,0.0,32.99,4.64,5.43,1.65,27.84,9.47,0.75,0.38,1.23,6.02,1.78,1.25,1.19,0.01,0.0,1.01,0.02,4.58,High,8.75952380952381,31.9,0.617,16.52,80.23
131,Romania,0.0,16.54,0.0,6.94,3.52,0.69,0.99,19.76,24.17,0.07,0.39,1.54,0.08,0.07,0.27,2.37,0.0,0.0,2.05,49.39,0.82,24.753218,19.310102,0.0,165.496646,6.4799,2.073568,22.550052,35.509851999999995,52.098396,0.907186,1.555176,2.203166,2.073568,0.259196,24.105228,4.147136,36.417038,0.0,2.851156,56.634326,12.052613999999998,1.26,0.15,0.0,37.79,4.04,2.28,1.86,22.52,22.49,0.21,1.9,0.57,1.02,0.08,4.39,1.02,0.03,0.0,0.52,0.06,4.05,High,2.5,43.0,11.69,9.74,76.05
132,Russia,0.0,17.35,0.0,4.97,4.45,2.29,0.59,24.04,15.48,0.0,0.34,1.57,0.14,0.07,0.24,0.95,0.0,0.0,0.47,44.73,0.51,19.698896,20.217288,0.0,157.59116799999998,8.164674,6.739096,10.756634,42.248948,35.509851999999995,0.129598,1.555176,2.332764,3.369548,0.259196,20.73568,1.814372,49.636034,0.0,0.64799,51.320808,8.812664,0.76,0.2,0.0,37.03,4.84,7.15,0.94,25.56,17.05,0.02,2.06,0.64,1.72,0.08,3.82,0.67,0.0,0.0,0.13,0.04,2.88,High,2.5,39.6,9.393,6.18,72.58
133,Rwanda,0.0,0.75,0.0,5.92,0.09,0.17,1.12,2.64,1.75,0.01,0.08,1.83,1.37,0.06,1.17,0.02,0.0,0.0,0.0,8.55,0.19,5.83191,0.907186,0.0,69.98292,0.129598,1.166382,35.380254,4.924723999999999,4.53593,0.129598,0.388794,4.147136,40.045782,0.518392,90.977796,0.0,15.810956,0.0,0.0,9.849448,3.628744,0.76,0.02,0.0,14.0,0.11,1.46,2.77,3.28,1.87,0.02,0.39,2.26,19.96,0.11,8.11,0.01,0.0,0.0,0.0,0.0,1.23,Low,35.8,20.3,1.642,4.28,69.02
134,Saint Kitts and Nevis,0.0,5.31,0.0,3.74,0.61,1.68,0.44,25.89,6.04,0.26,0.13,9.28,0.27,0.29,0.06,0.2,0.0,0.0,0.73,49.94,0.17,6.220704,6.220704,0.0,89.42262,1.166382,7.905478,12.052613999999998,43.674526,15.292564,2.851156,0.64799,12.9598,6.091106,0.907186,6.868694,0.259196,51.580004,0.0,1.036784,57.282316,2.59196,0.3,0.08,0.0,16.58,0.67,10.47,1.0,24.21,6.02,0.64,0.78,1.43,3.13,0.23,0.9,0.04,0.0,0.0,0.2,0.15,0.9,Low,9.666666666666666,31.66190476190476,5.597666666666667,12.84,76.23
135,Saint Lucia,0.0,6.03,0.0,3.02,0.72,2.59,0.73,30.57,6.71,0.18,2.7,3.69,0.25,0.47,0.13,1.33,0.0,0.0,0.32,12.44,0.15,15.810956,6.998291999999999,0.0,117.93418,1.4255779999999998,8.294272,14.25578,50.284024,16.977338,1.94397,11.275026,5.054322,6.739096,1.166382,7.516684,1.94397,55.07915,0.0,0.518392,14.25578,3.110352,0.42,0.08,0.0,24.04,0.83,9.27,1.38,26.53,6.48,0.47,12.77,0.58,3.52,0.26,1.05,0.18,0.0,0.0,0.09,0.07,0.86,Low,9.666666666666666,34.9,6.405,11.62,76.2
136,Saint Vincent and the Grenadines,0.0,2.96,0.0,8.2,1.3,1.17,1.21,30.1,5.92,0.63,0.17,1.54,0.41,2.33,0.32,3.16,0.0,0.0,1.52,34.65,0.27,15.422161999999998,3.499146,0.0,106.140762,2.332764,4.665528,27.86357,53.653572,16.847739999999998,7.12789,0.64799,2.462362,9.590252,5.443116,20.73568,4.53593,46.784878,0.0,2.203166,39.786586,4.147136,0.39,0.07,0.0,21.52,1.42,5.82,2.3,33.09,8.07,1.71,0.81,0.85,4.71,1.02,2.39,0.6,0.0,0.0,0.42,0.06,1.61,Low,7.6,31.8,4.832,11.62,72.53
137,Samoa,0.0,12.38,0.0,6.95,0.43,5.21,1.65,30.1,3.68,0.18,0.12,19.2,0.0,0.19,0.84,0.63,0.0,0.0,0.77,31.86,0.13,3.369548,14.25578,0.0,134.652322,0.777588,13.478192,28.51156,51.968798,9.590252,2.073568,0.64799,30.066736,0.0,0.64799,35.250656,1.684774,33.825078,0.0,1.036784,36.546636,2.59196,0.27,0.14,0.0,24.5,0.49,12.68,2.76,30.32,4.14,0.51,0.76,3.3,0.0,0.16,5.79,0.71,0.01,0.0,0.21,0.02,1.05,Low,4.4,22.0,3.564,9.21,73.32
138,Sao Tome and Principe,0.0,1.05,0.0,4.5,0.17,2.13,1.63,8.71,1.12,0.09,0.03,1.09,0.17,0.04,0.19,2.78,0.0,0.0,0.01,41.54,0.17,5.83191,1.29598,0.0,135.041116,0.259196,7.257487999999999,49.765632,14.90377,3.110352,1.166382,0.129598,1.4255779999999998,4.147136,0.259196,12.441408,3.758342,21.642866,0.0,0.0,47.56246599999999,3.23995,0.18,0.05,0.0,26.51,0.21,8.53,4.28,8.44,1.37,0.28,0.19,0.14,2.05,0.05,1.44,0.29,0.0,0.0,0.0,0.02,1.11,Low,13.5,18.7,2.162,2.42,70.39
139,Saudi Arabia,0.0,6.15,0.0,11.27,2.87,0.84,0.81,14.56,8.66,0.17,0.16,3.68,0.37,1.26,0.07,2.02,0.0,0.0,1.53,42.82,0.78,0.0,7.257487999999999,0.0,207.486398,5.18392,2.721558,29.937138,28.252364,19.958092,2.332764,0.64799,5.054322,6.609497999999999,4.276733999999999,5.443116,3.628744,40.434576,0.0,2.332764,48.988044,8.683066,0.0,0.23,0.0,42.2,3.0,3.13,2.33,20.22,10.17,0.65,0.74,0.91,3.3,0.98,0.67,0.95,0.01,0.0,0.51,0.01,2.76,Moderate,3.7,31.9,1.845,17.72,75.13
140,Senegal,0.0,1.3,0.0,8.17,0.55,0.57,0.11,5.61,1.63,0.01,0.2,10.86,0.25,0.18,0.15,0.2,0.0,0.0,0.23,45.38,0.77,0.388794,1.555176,0.0,201.654488,1.036784,2.462362,3.110352,10.108644,3.88794,0.129598,0.777588,16.199749999999998,6.998291999999999,0.518392,17.49573,0.388794,22.161258,0.0,0.259196,51.968798,13.348594,0.03,0.03,0.0,38.15,0.66,3.17,0.29,6.34,1.57,0.03,0.94,5.45,3.56,0.15,1.38,0.22,0.0,0.0,0.06,0.01,2.97,Low,7.5,18.7,1.796,2.42,67.94
141,Serbia,0.0,7.35,0.0,4.13,2.55,0.66,1.2,34.63,16.27,0.0,0.38,4.51,0.14,0.15,0.12,3.57,0.0,0.0,1.6,14.87,0.46,16.458945999999997,8.553467999999999,0.0,153.57362999999998,4.665528,2.073568,19.310102,52.098396,36.93543,0.0,1.684774,6.739096,3.369548,0.388794,10.627036,6.091106,29.029952,0.0,2.203166,16.977338,6.868694,0.69,0.04,0.0,33.45,2.79,2.23,1.96,20.69,16.52,0.01,1.79,2.12,1.69,0.12,1.92,1.15,0.01,0.0,0.39,0.05,2.24,High,3.3,41.2,11.855552631578943,10.08,76.0
142,Seychelles,0.0,4.54,0.0,11.24,1.96,4.21,0.61,23.21,6.14,0.3,0.06,15.81,0.4,0.9,0.04,0.61,0.0,0.0,1.55,21.69,0.61,25.401208,5.313517999999999,0.0,166.27423399999998,3.758342,15.033368,15.422161999999998,40.304978,15.162966,3.499146,0.518392,22.290856,8.812664,3.499146,6.220704,1.29598,39.138596,0.0,2.203166,24.882816,11.793418,0.96,0.11,0.0,30.23,2.39,18.05,1.42,23.79,6.67,0.86,0.34,4.09,4.63,0.89,0.83,0.54,0.0,0.0,0.46,0.07,4.02,Low,19.05121951219512,36.2,5.586,10.55,73.4
143,Sierra Leone,0.0,0.16,0.0,3.09,0.32,1.31,0.25,2.44,0.99,0.05,0.08,3.33,0.47,0.33,0.68,0.15,0.0,0.0,0.05,37.68,0.39,0.907186,0.129598,0.0,150.592876,0.64799,5.572714,4.924723999999999,4.665528,2.332764,0.518392,0.388794,5.18392,10.627036,0.777588,56.245532,0.259196,9.201458,0.0,1.166382,43.156134,5.443116,0.07,0.0,0.0,23.83,0.4,7.12,0.46,3.36,0.89,0.13,0.47,1.63,5.35,0.23,4.15,0.06,0.0,0.0,0.23,0.0,2.25,Low,27.4,19.1,1.285,2.42,54.7
144,Slovakia,0.0,49.12,0.0,9.51,2.65,0.82,0.53,19.93,10.77,0.03,0.23,2.01,0.09,0.17,0.13,2.76,0.0,0.0,1.3,49.34,0.49,16.458945999999997,57.80070799999999,0.0,111.195084,4.924723999999999,2.59196,10.238242,33.69548,25.27161,0.518392,1.036784,2.980754,2.332764,0.64799,12.830202,4.53593,36.805832,0.0,1.814372,56.50472799999999,7.12789,0.84,1.13,0.0,23.59,2.89,2.88,0.92,18.77,12.5,0.16,1.1,0.98,1.19,0.18,2.22,0.54,0.01,0.0,0.38,0.05,2.22,High,3.8,41.2,9.167,7.29,77.54
145,Slovenia,0.0,17.7,0.0,10.28,2.7,1.0,1.06,19.92,17.19,0.14,0.28,2.53,0.05,0.21,0.12,5.04,0.0,0.0,3.02,34.61,0.7,16.718142,21.124474,0.0,154.74001199999998,4.924723999999999,3.23995,20.476484,36.676234,39.138596,1.555176,1.4255779999999998,4.017538,1.166382,0.64799,11.534222,8.294272,29.418746,0.0,4.276733999999999,39.656988,10.108644,0.99,0.61,0.0,31.58,2.94,3.68,1.52,24.06,20.74,0.34,1.82,1.66,0.57,0.19,2.06,1.64,0.01,0.0,0.8,0.07,3.76,High,2.5,44.5,12.93,7.25,81.32
146,Solomon Islands,0.0,3.14,0.0,3.41,0.21,2.41,0.52,6.33,0.77,0.08,0.04,15.75,0.48,0.14,1.99,1.43,0.0,0.0,0.29,22.91,0.06,1.684774,3.758342,0.0,94.60654,0.388794,7.905478,6.220704,9.979046,2.332764,0.777588,0.129598,24.62362,10.497438,0.388794,94.347344,1.94397,18.014122,0.0,0.388794,26.308394,1.036784,0.14,0.08,0.0,14.97,0.24,9.07,0.54,4.58,1.05,0.19,0.24,2.02,5.25,0.1,10.51,0.2,0.0,0.0,0.08,0.0,0.51,Low,18.1,20.8,2.043,18.68,73.0
147,South Africa,0.0,1.24,0.0,9.17,2.04,0.45,0.21,23.33,5.03,0.0,0.69,1.43,0.05,0.13,0.1,0.41,0.0,0.0,0.18,48.57,0.26,13.089398,1.4255779999999998,0.0,178.586044,3.758342,1.555176,3.88794,40.045782,10.886232,0.0,3.110352,2.332764,1.4255779999999998,0.518392,8.683066,0.777588,39.916184,0.0,0.259196,55.597542,4.406332,0.62,0.01,0.0,37.12,2.35,1.76,0.41,23.16,4.98,0.0,3.88,0.98,0.71,0.16,1.38,0.25,0.0,0.0,0.06,0.02,1.22,High,6.9,27.3,3.053,5.52,64.13
148,South Korea,0.0,9.12,0.14,3.76,3.45,4.5,0.35,26.01,2.95,0.0,0.43,4.67,0.06,0.18,0.08,0.42,0.0,0.0,3.38,65.46,1.49,19.958092,10.756634,4.406332,149.55609199999998,6.350301999999999,14.514976,7.775879999999999,44.192918,6.868694,0.0,1.94397,10.886232,1.684774,1.166382,5.572714,1.036784,57.930306,0.0,5.313517999999999,75.03724199999999,21.254072,0.79,0.35,2.61,24.77,3.85,15.89,0.75,24.79,3.77,0.0,2.45,6.28,0.79,0.27,0.76,0.5,0.13,0.0,0.96,0.0,8.38,Low,2.5,43.4,8.622,6.8,83.03
149,South Sudan,0.0,0.99,0.0,5.64,0.01,0.2,0.58,9.64,17.77,0.02,0.24,21.34,0.26,0.29,0.61,0.01,0.0,0.0,0.01,19.68,0.23,0.907186,1.166382,0.0,92.01458,0.0,0.777588,6.609497999999999,15.681358,41.082566,0.129598,1.036784,31.881108,6.220704,0.64799,42.896938,0.0,9.460654,0.0,0.0,22.550052,3.628744,0.03,0.02,0.0,19.7,0.01,0.87,0.57,7.92,17.26,0.04,1.24,8.68,3.12,0.2,2.8,0.04,0.0,0.0,0.0,0.01,1.61,Low,19.05121951219512,19.2,2.032,10.43,57.85
150,Spain,0.0,7.75,0.0,3.44,4.07,3.37,1.67,27.83,13.6,0.0,0.41,3.11,0.28,0.06,0.14,1.15,0.0,0.0,4.92,82.68,0.58,21.902062,9.07186,0.0,101.993626,7.516684,11.275026,16.977338,51.19121,34.99146,0.0,1.684774,4.53593,6.350301999999999,0.259196,13.478192,2.462362,37.58342,0.0,8.942262,94.60654,9.71985,1.11,0.17,0.0,24.22,4.68,12.58,1.71,33.79,17.72,0.0,2.02,1.2,3.13,0.06,2.43,1.26,0.01,0.0,1.84,0.04,3.17,High,2.5,45.5,13.799,7.17,83.56
151,Sri Lanka,0.0,0.34,0.0,3.41,1.1,2.16,0.49,2.63,4.93,0.01,0.02,23.06,0.41,1.45,0.09,0.09,0.01,0.09,0.55,10.21,0.36,1.29598,0.388794,0.0,201.52489,2.073568,7.646281999999999,13.866986,5.313517999999999,11.923016,0.129598,0.129598,33.177088,14.25578,6.220704,9.07186,0.259196,38.101812,1.814372,1.4255779999999998,11.66382,8.423869999999999,0.08,0.0,0.0,34.64,1.23,9.1,0.89,4.06,4.78,0.03,0.11,2.74,6.79,1.76,0.66,0.16,0.01,0.05,0.25,0.01,2.65,Low,3.4,34.1,5.331,10.68,76.98
152,Sudan,0.0,1.47,0.0,8.55,0.38,0.08,0.47,9.11,12.89,0.01,0.36,10.28,0.51,0.14,0.06,0.05,0.0,0.0,0.0,27.13,0.46,0.0,1.684774,0.0,172.36533999999995,0.64799,0.259196,13.60779,14.90377,25.790002,0.129598,1.29598,15.422161999999998,11.793418,0.388794,4.406332,0.388794,35.121058,0.518392,0.0,31.10352,8.035076,0.0,0.02,0.0,39.0,0.42,0.34,1.21,7.67,9.6,0.02,1.43,5.23,6.14,0.1,0.46,0.38,0.0,0.03,0.0,0.0,2.5,Low,12.8,19.7,2.034,15.67,65.31
153,Suriname,0.0,1.81,0.0,5.4,1.51,1.28,0.34,22.29,2.64,0.25,0.05,2.98,0.17,0.71,0.14,1.24,0.0,0.0,0.27,36.47,0.39,11.66382,2.073568,0.0,148.778504,2.980754,4.147136,15.292564,37.065028,8.553467999999999,3.23995,0.259196,4.53593,4.276733999999999,2.073568,6.868694,1.94397,53.78317,0.388794,0.388794,41.860154,7.12789,0.37,0.03,0.0,25.5,1.72,4.69,1.36,19.63,4.75,0.89,0.33,1.42,2.13,0.56,0.83,0.28,0.0,0.02,0.08,0.03,2.69,Moderate,8.2,29.6,4.229,12.54,71.68
154,Sweden,0.0,18.33,0.0,4.71,3.72,2.33,0.96,21.29,25.5,0.13,0.71,2.61,0.1,0.35,0.14,0.83,0.0,0.0,2.77,49.12,0.63,20.865278,21.772464,0.0,113.39825,6.868694,7.516684,12.052613999999998,38.8794,57.15271799999999,1.555176,2.980754,3.88794,2.851156,1.29598,13.866986,3.110352,43.933722,0.0,4.017538,56.37513,9.331056,0.75,0.82,0.0,25.82,4.28,8.38,1.13,25.19,27.85,0.37,3.67,1.19,1.42,0.33,2.44,2.17,0.0,0.0,0.83,0.21,2.99,High,2.5,41.0,13.433,4.79,82.8
155,Switzerland,0.0,17.89,0.0,3.2,2.98,1.19,1.1,34.26,30.74,0.05,0.33,1.68,0.09,0.28,0.13,0.4,0.0,0.0,6.42,58.8,0.65,19.698896,20.606082,0.0,97.716892,5.443116,3.758342,16.458945999999997,52.357592,60.651864,0.518392,1.555176,2.59196,2.332764,1.036784,11.275026,1.684774,58.059904,0.0,9.201458,66.872568,9.07186,0.71,0.14,0.0,23.7,3.43,4.15,1.5,22.11,29.86,0.11,2.04,0.84,1.16,0.25,2.06,0.68,0.02,0.0,1.84,0.05,3.29,High,2.5,43.1,12.644,5.59,83.78
156,Syria,0.0,8.98,0.0,8.03,2.42,0.27,0.59,7.23,13.26,0.03,0.35,4.63,0.73,0.81,0.17,0.43,0.0,0.0,7.29,35.62,0.62,0.129598,10.36784,0.0,184.02916,4.406332,0.64799,14.774171999999998,11.793418,25.660404,0.388794,1.036784,6.350301999999999,15.810956,2.332764,8.423869999999999,1.166382,23.457238,0.0,10.108644,40.82337,10.36784,0.0,0.05,0.0,41.24,2.54,0.63,1.68,5.94,10.73,0.12,1.11,1.24,8.04,0.8,1.04,0.87,0.0,0.0,2.44,0.02,3.79,Low,8.75952380952381,21.7,2.577,9.060909090909092,72.7
157,Taiwan,0.0,6.51,0.0,3.0,4.29,1.25,0.73,37.18,3.87,0.03,0.16,6.27,0.12,0.27,0.04,1.19,0.0,0.0,1.54,65.89,0.68,7.387085999999999,7.646281999999999,0.0,119.23016,7.905478,5.702311999999999,15.681358,59.355884,9.979046,0.518392,0.64799,12.830202,3.110352,1.555176,3.499146,2.203166,37.065028,0.129598,4.795126,75.555634,12.31181,0.43,0.06,0.0,22.62,4.64,7.38,1.31,28.77,4.7,0.17,0.87,8.78,1.53,0.34,0.41,0.67,0.01,0.0,0.83,0.01,4.22,Low,3.5,42.2,8.353,9.060909090909092,80.46
158,Tajikistan,0.0,3.18,0.0,9.1,1.16,0.04,0.44,18.76,8.63,0.05,0.7,1.39,0.21,0.17,0.11,0.99,0.0,0.0,0.67,36.06,1.38,0.907186,3.628744,0.0,180.400416,2.073568,0.129598,10.886232,30.066736,20.73568,0.518392,3.110352,2.203166,5.443116,2.073568,9.71985,1.555176,22.161258,0.0,0.907186,41.341762,22.550052,0.06,0.02,0.0,39.25,1.26,0.16,0.89,14.63,8.7,0.15,3.91,0.7,2.71,0.63,1.8,0.31,0.0,0.0,0.2,0.02,6.45,Low,8.6,23.3,2.155,7.11,71.1
159,Tanzania,0.0,2.77,0.0,4.85,0.26,0.47,0.28,4.06,3.75,0.0,0.12,7.4,0.73,0.1,0.69,0.02,0.0,0.02,0.35,29.58,0.23,6.4799,3.23995,0.0,138.66986,0.518392,1.684774,13.996584,7.12789,10.238242,0.0,0.518392,11.534222,21.902062,0.259196,42.11935,0.129598,13.089398,0.64799,0.518392,33.954676,3.628744,0.63,0.03,0.0,25.39,0.32,2.11,1.58,4.37,4.71,0.01,0.69,3.35,10.97,0.08,4.03,0.12,0.01,0.06,0.1,0.0,1.5,Low,22.6,17.7,1.874,5.75,65.46
160,Thailand,0.0,2.2,0.0,4.21,3.67,2.56,0.56,15.5,1.8,0.0,0.18,4.92,0.13,2.09,0.05,0.1,0.0,0.0,0.5,30.24,0.28,15.940554,2.59196,0.0,181.566798,6.609497999999999,8.812664,9.71985,22.938846,5.702311999999999,0.0,0.777588,8.553467999999999,3.369548,7.387085999999999,4.017538,0.388794,51.450406,0.0,0.777588,34.602666,4.53593,0.37,0.03,0.0,27.43,3.84,10.32,0.91,8.72,2.48,0.0,1.0,2.69,1.61,2.12,0.42,0.39,0.0,0.0,0.16,0.02,1.73,Low,8.8,40.1,6.89,7.04,77.15
